date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
11/07/2014 12:23:28	new sample	FL	121	1.0	       1.35e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:23:28	new sample	BR-FL	17	1.0	       1.85e+005	BR-FL/BR	 12.1%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:25:01	new sample	BR	121	1.0	       1.35e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:25:01	new sample	FL	89	1.0	       9.98e+005	  	  	  7.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:25:01	new sample	BR-FL	32	1.0	       3.48e+005	BR-FL/BR	 25.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:26:33	new sample	BR	183	1.0	       2.03e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:26:33	new sample	FL	90	1.0	       1.01e+006	  	  	  7.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:26:33	new sample	BR-FL	93	1.0	       1.02e+006	BR-FL/BR	 50.4%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:28:00	new sample	BR	78	1.0	       8.68e+005	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:28:00	new sample	FL	77	1.0	       8.58e+005	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:28:00	new sample	BR-FL	1	1.0	       9.34e+003	BR-FL/BR	  1.1%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:29:32	new sample	BR	126	1.0	       1.39e+006	  	  	  5.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:29:32	new sample	FL	111	1.0	       1.23e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:29:32	new sample	BR-FL	15	1.0	       1.63e+005	BR-FL/BR	 11.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:31:17	new sample	BR	155	1.0	       1.72e+006	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:31:17	new sample	FL	130	1.0	       1.44e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:31:17	new sample	BR-FL	25	1.0	       2.74e+005	BR-FL/BR	 15.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:33:09	new sample	BR	147	1.0	       1.63e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:33:09	new sample	FL	134	1.0	       1.49e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:33:09	new sample	BR-FL	13	1.0	       1.40e+005	BR-FL/BR	  8.6%	 	Feeding Trial 1 SS_low conc	Algae RC

