id,river,site,species,dry_weight_g,buoyant_weight_g,length_mm,width_mm,height_mm,date,dead,post
C491,Little Tennessee,LiTN 2,A. raveneliana,14,6.4,51,28,18,9/19/13,0,1
C508,Little Tennessee,LiTN 2,A. raveneliana,29.6,6,68,37,26,9/19/13,0,1
C517,Little Tennessee,LiTN 2,A. raveneliana,29.1,8,69,36,21,9/19/13,0,1
C502,Little Tennessee,LiTN 2,A. raveneliana,11.6,2.7,50,26,17,9/19/13,0,1
C497,Little Tennessee,LiTN 2,A. raveneliana,30.6,3.5,69,36,23,9/19/13,0,1
C474,Little Tennessee,LiTN 2,A. raveneliana,37.8,9.8,69.6,38,24,10/3/13,0,1
C515,Little Tennessee,LiTN 2,A. raveneliana,32,4.3,65,35,24,9/19/13,0,1
C485,Little Tennessee,LiTN 2,A. raveneliana,,,77.7,40,24.7,8/19/13,1,1
C523,Little Tennessee,LiTN 2,A. raveneliana,8.6,1.7,43.9,23.8,14.8,10/3/13,0,1
C479,Little Tennessee,LiTN 2,A. raveneliana,,,75.2,40.8,26,9/19/13,1,1
C470,Little Tennessee,LiTN 3,A. raveneliana,,,80.1,41.8,25.9,9/19/13,1,1
C468,Little Tennessee,LiTN 3,A. raveneliana,,,74.4,39.3,24.1,8/19/13,1,1
C520,Little Tennessee,LiTN 3,A. raveneliana,8.2,2.6,48,24,16,9/19/13,0,1
C483,Little Tennessee,LiTN 3,A. raveneliana,32.3,6.1,70,36,23,9/19/13,0,1
C477,Little Tennessee,LiTN 3,A. raveneliana,,,71.7,36.4,25,8/19/13,1,1
C526,Little Tennessee,LiTN 3,A. raveneliana,,,72.2,35.8,25,8/19/13,1,1
C480,Little Tennessee,LiTN 3,A. raveneliana,,,72.4,35.4,24.4,9/19/13,1,1
C503,Little Tennessee,LiTN 3,A. raveneliana,21.6,2.7,61,34,20,9/19/13,0,1
C534,Little Tennessee,LiTN 3,A. raveneliana,7.6,2.3,45,23,14,9/19/13,0,1
C532,Little Tennessee,LiTN 3,A. raveneliana,7.3,1,47,24,15,9/19/13,0,1
C527,Little Tennessee,LiTN 3,A. raveneliana,,,67.4,34.9,26.8,8/19/13,1,1
C521,Little Tennessee,LiTN 3,A. raveneliana,13.9,2.5,54,28,19,9/19/13,0,1
P132,Tuckasegee,Tuck 1,L. fasciola,3.7,,30.3,17.9,11,4/2/13,0,0
P120,Tuckasegee,Tuck 1,L. fasciola,4.4,,32,19.6,12.2,4/2/13,0,0
C966,Tuckasegee,Tuck 1,L. fasciola,4.3,,30.8,18.2,12.5,4/2/13,0,0
P097,Tuckasegee,Tuck 1,L. fasciola,3.3,,28.9,17.4,10.6,4/2/13,0,0
P130,Tuckasegee,Tuck 1,L. fasciola,3.9,,30.7,18.6,11.8,4/2/13,0,0
