date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
06/13/2014 15:11:54	new sample	FL	155	1.0	       1.69e+006	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:11:54	new sample	BR-FL	64	1.0	       7.30e+005	BR-FL/BR	 30.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:13:14	new sample	BR	163	1.0	       1.82e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:13:14	new sample	FL	147	1.0	       1.61e+006	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:13:14	new sample	BR-FL	16	1.0	       2.09e+005	BR-FL/BR	 11.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:15:10	new sample	BR	245	1.0	       2.72e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:15:10	new sample	FL	161	1.0	       1.76e+006	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:15:10	new sample	BR-FL	84	1.0	       9.66e+005	BR-FL/BR	 35.5%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:16:36	new sample	BR	262	1.0	       2.93e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:16:36	new sample	FL	163	1.0	       1.78e+006	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:16:36	new sample	BR-FL	99	1.0	       1.14e+006	BR-FL/BR	 39.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 15:18:25	new sample	BR	253	1.0	       2.82e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 15:18:25	new sample	FL	144	1.0	       1.58e+006	  	  	  4.5	Feeding Trial 1 SS_low conc	Algae RC
